category,main_name,main_image,product_name,brewing_quantity,brewing_time,brewing_tem,sizes_img,sizes_unit,sizes_price,images,description,ingredients_detail,main_price
Shop all Tea,English Breakfast Teabag Everyday Tin,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb5e2adc1/images/UXProject/new-tea-images/B120AE007_english-breakfast-tbag_r1.png?sw=262&sh=262&sm=fit,English Breakfast Teabag Everyday Tin,1 bag per cup,2-4 mins,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf63083bf/images/products/B120AI004_english-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw385385c5/images/products/B120AG010_english-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw60b82da1/images/B120AE007_english-breakfast-yb_p1.png?sw=55&sh=55&sm=fit']","['Tin 60pk', 'Foil 60pk', 'Cube 25pk']","['A$29.00', 'A$27.00', 'A$12.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf63083bf/images/products/B120AI004_english-breakfast-tea-in-a-bag_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb5e2adc1/images/UXProject/new-tea-images/B120AE007_english-breakfast-tbag_r1.png?sw=100&sh=100&sm=fit']","A traditional blend of Sri Lankan broken-leaf teas that produces a coppery liquor with an assertive aroma. The flavour is bright and brisk, perfect any time of the day.Enjoy with: Milk.Store in a cool, dry place.",Black tea,
Shop all Tea,Irish Breakfast Loose Leaf Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa3f91af9/images/UXProject/new-tea-images/T120AE011_irish-breakfast_r1.jpg?sw=262&sh=262&sm=fit,Irish Breakfast Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dweffea4b9/images/products/T120AE011_irish-breakfast_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dweca6e135/images/products/T120AG017_irish-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw1d1b744a/images/products/T120AI031_irish-breakfast_p1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dweffea4b9/images/products/T120AE011_irish-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa3f91af9/images/UXProject/new-tea-images/T120AE011_irish-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","No messing around with this stout blend. This hall of famer is rich and full-bodied with a frank aroma. Perfect with a splash of milk and paired with a hearty breakfast to get the day going.Enjoy with: MilkStore in a cool, dry place.",Black tea,
Shop all Tea,English Breakfast Loose Leaf Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw68e35fdd/images/UXProject/new-tea-images/T120AE007_english-breakfast_r1.jpg?sw=262&sh=262&sm=fit,English Breakfast Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaeff4205/images/products/T120AI021_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw93fba131/images/products/T120AG012_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaf4139bf/images/products/T120AE007_english-breakfast_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$29.00', 'A$27.00', 'A$12.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaf4139bf/images/products/T120AE007_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw68e35fdd/images/UXProject/new-tea-images/T120AE007_english-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","A traditional blend of Sri Lankan broken-leaf teas that produces a coppery liquor with an assertive aroma. The flavour is bright and brisk, perfect any time of the day.Enjoy with: Milk.Store in a cool, dry place.",Black tea,
Shop all Tea,Morning Sunshine Loose Leaf Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf24683f8/images/UXProject/new-tea-images/T120AE079_morning-sunshine_r1.jpg?sw=262&sh=262&sm=fit,Morning Sunshine Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100c(212f),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0a9079d6/images/T120AE079_morning-sunshine_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw172a84b2/images/T120AG063-_morning-sunshine-foil_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa9b1226b/images/T120AI082_morning-sunshine-tin_p1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0a9079d6/images/T120AE079_morning-sunshine_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw01b7cff2/images/T120AE079_morning-sunshine_r1.jpg?sw=100&sh=100&sm=fit']","Introducing our ultimate breakfast brew! This luxurious blend combines a harmonious mix of Assam, Darjeeling and Rwandan estate black teas. The perfect go-to daily cuppa, each cup offers robust malty notes, muscatels and a touch of mellow fruitiness. Out of the ordinary and simply exceptional, this bright brew’s just the sip to wake up to.",Black tea,
Shop all Tea,Morning Sunshine Teabag Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw95270f63/images/UXProject/new-tea-images/B120AE012_morning-sunshine-tbag_r1.jpg?sw=262&sh=262&sm=fit,Morning Sunshine Teabag Gift Cube,1 bag per cup,2-4 mins,100c(212f),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw153820c7/images/products/B120AE012_morning-sunshine-yb_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwec0ae325/images/B120AG019_morning-sunshine-teabag-foil_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw7c494c55/images/B120AI008_morning-sunshine-teabag-tin_p1.png?sw=100&sh=100&sm=fit']","['Cube 25pk', 'Foil 60pk', 'Tin 60pk']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw153820c7/images/products/B120AE012_morning-sunshine-yb_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw95270f63/images/UXProject/new-tea-images/B120AE012_morning-sunshine-tbag_r1.jpg?sw=100&sh=100&sm=fit']","Introducing our ultimate breakfast brew! This luxurious blend combines a harmonious mix of Assam, Darjeeling and Rwandan estate black teas. The perfect go-to daily cuppa, each cup offers robust malty notes, muscatels and a touch of mellow fruitiness. Out of the ordinary and simply exceptional, this bright brew’s just the sip to wake up to.",Black tea,
Shop all Tea,Fair Trade Certified Organic English Breakfast Loose Leaf Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6e61532b/images/UXProject/new-tea-images/T120AE029_fair-trade-organic-english-breakfast_r1.jpg?sw=262&sh=262&sm=fit,Fair Trade Certified Organic English Breakfast Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe6984184/images/products/T120AE029_organic-fairtrade-english-breakfast_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0c820eb6/images/products/T120AG032_organic-fairtrade-english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw44cbdfc6/images/products/T120AI057_organic-fairtrade-english-breakfast_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe6984184/images/products/T120AE029_organic-fairtrade-english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw6e61532b/images/UXProject/new-tea-images/T120AE029_fair-trade-organic-english-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","A traditional blend of 100% certified organic broken-leaf teas that produces a coppery liquor with an assertive aroma. The flavour is bright and brisk, perfect any time of the day.Enjoy with: Milk.Store in a cool, dry place.",100% certified organic & fairtrade ingredients: Black tea,
Shop all Tea,Good Morning Loose Leaf Tea,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw433fe586/images/UXProject/new-tea-images/T120AE032_good-morning_r1.jpg?sw=262&sh=262&sm=fit,Good Morning Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100°C (212°F),['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwba0e6b8a/images/products/T120AE032_good-morning_sha1.png?sw=55&sh=55&sm=fit'],['Cube 100g-3.5oz'],['A$13.00'],"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwba0e6b8a/images/products/T120AE032_good-morning_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw433fe586/images/UXProject/new-tea-images/T120AE032_good-morning_r1.jpg?sw=100&sh=100&sm=fit']","A beaming coppery blend of Chinese and Indian black tea provides a rich medium astringency. A lively morning tea to start any day, this brew will help you rise with plenty of shine.Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.",Black tea,
Shop all Tea,Orange Pekoe Loose Leaf Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw06891b71/images/UXProject/new-tea-images/T120AE017_orange-pekoe_r1.jpg?sw=262&sh=262&sm=fit,Orange Pekoe Loose Leaf Gift Cube,1 tsp per cup,2-4 mins,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw771870c1/images/products/T120AE017_orange-pekoe_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd4872b9c/images/products/T120AG026_orange-pekoe_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw124e7f54/images/products/T120AI045_orange-pekoe_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw771870c1/images/products/T120AE017_orange-pekoe_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw06891b71/images/UXProject/new-tea-images/T120AE017_orange-pekoe_r1.jpg?sw=100&sh=100&sm=fit']","A discerning choice. Long twisted leaves from fine Sri Lankan estates produce a medium-bodied, bright copper infusion. This orange pekoe tea is a versatile staple that's perfect for all-day drinking.Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.",Black tea,
