category,main_name,main_image,product_name,brewing_quantity,brewing_time,brewing_tem,sizes_img,sizes_unit,sizes_price,images,description,ingredients_detail,main_price
Shop all Tea,Turkish Apple Gift Cube,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwecd0e3cb/images/UXProject/new-tea-images/T130AE006_turkish-apple_r1.jpg?sw=262&sh=262&sm=fit,Turkish Apple Gift Cube,2 tsp per cup,,100°C (212°F),"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf6b2f23b/images/products/Packaging/T130AE006_turkish-apple_Sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwc815add6/images/products/T130AG009_turkish-apple_sha1.png?sw=100&sh=100&sm=fit']","['Cube 250g-8.8oz', 'Foil 500g-17.6oz']","['A$16.00', 'A$30.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf6b2f23b/images/products/Packaging/T130AE006_turkish-apple_Sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwecd0e3cb/images/UXProject/new-tea-images/T130AE006_turkish-apple_r1.jpg?sw=100&sh=100&sm=fit']","An all-time sweet and refreshing Turkish classic. Serve it chilled in summer for an icy sweet treat!Enjoy with: Perfect on its own.Store in a cool, dry place.","Sugar, acidifier (E330), natural and artificial apple flavouring (2%), maltodextrin (maize), antioxidant (E300), anticaking agent (E341), colour (E150d)",
Shop all Tea,Turkish Cherry Instant Tisane,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0891c665/images/UXProject/new-tea-images/T130AE008_turkish-cherry_r1.jpg?sw=262&sh=262&sm=fit,Turkish Cherry Gift Cube,2 tsp per cup,,100°C (212°F),['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb1115e22/images/products/T130AE008_turkish-cherry_sha1.png?sw=55&sh=55&sm=fit'],['Cube 250g-8.8oz'],"['A$16.00', 'A$7.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb1115e22/images/products/T130AE008_turkish-cherry_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0891c665/images/UXProject/new-tea-images/T130AE008_turkish-cherry_r1.jpg?sw=100&sh=100&sm=fit']","Sweet and full of delicious cherry flavour. Serve it chilled in summer for an icy sweet treat!Enjoy with: Perfect on its own.Store in a cool, dry place.","Sugar, acididfer (E330. E331), natural and artificial cherry flavour (2%), maltodextrin (maize), antioxidant (E300), anti caking agent (E341), colour (E129, E133)",
Shop all Tea,Turkish Apple & Cinnamon Instant Tisane,https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0d5661c1/images/UXProject/new-tea-images/T130AE005_turkish-apple-and-cinnamon.jpg?sw=262&sh=262&sm=fit,Turkish Apple & Cinnamon Gift Cube,2 tsp per cup,,100°C (212°F),['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw82c5f5dd/images/products/T130AE005_turkish-apple-cinnamon_sha1.png?sw=55&sh=55&sm=fit'],['Cube 250g-8.8oz'],['A$16.00'],"['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw82c5f5dd/images/products/T130AE005_turkish-apple-cinnamon_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0d5661c1/images/UXProject/new-tea-images/T130AE005_turkish-apple-and-cinnamon.jpg?sw=100&sh=100&sm=fit']","Sweet and full of refreshing apple and spicy cinnamon flavour. Serve it iced in summer for an icy sweet treat!Enjoy with: Perfect on its own.Store in a cool, dry place.","Sugar, acidifier (E330), natural and artificial apple flavour (2%), natural and artifical cinnamon flavour (1%), maltodextrin (maize), anti-caking agent (E341), colour (E150d, E163, E129), antioxidant (E300)",
