"category","main_name","main_image","product_name","brewing_quantity","brewing_time","brewing_tem","sizes_img","sizes_unit","sizes_price","images","description","ingredients_detail","main_price"
"Shop all Tea","Melbourne Breakfast Loose Leaf Everyday Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4c6ddb67/images/UXProject/new-tea-images/T125AE023_melbourne-breakfast_r1.jpg?sw=262&sh=262&sm=fit","Melbourne Breakfast Loose Leaf Everyday Tin","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd21ce9ab/images/products/T125AI039_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa6e4c41a/images/products/T125AG027_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd163e319/images/products/T125AE023_melbourne-breakfast_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$38.00', 'A$36.00', 'A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd21ce9ab/images/products/T125AI039_melbourne-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4c6ddb67/images/UXProject/new-tea-images/T125AE023_melbourne-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","When the winds start howling, this brew will see you through. Indulge a little with this full-bodied vanilla sweet tea – bound to keep you cosy all year 'round. Sip it up Melbourne style!Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.","Black tea, natural and artificial vanilla flavouring",""
"Shop all Tea","New York Breakfast Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw01ef167f/images/UXProject/new-tea-images/T125AE098_new-york-breakfast_r1.jpg?sw=262&sh=262&sm=fit","New York Breakfast Loose Leaf Gift Cube","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb692bb8/images/products/T125AE098_new-york-breakfast_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw8a88c10a/images/products/Packaging/T140AG072_New-York-Breakfast-FL_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwe0c65a53/images/products/Packaging/T135AI025_New-York-Breakfast-TIN_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb692bb8/images/products/T125AE098_new-york-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw01ef167f/images/UXProject/new-tea-images/T125AE098_new-york-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","A full-bodied black tea boasting the taste of hot pancakes, inspired by a perfect New York moment. Warm up the morning or sweeten your afternoon and be whisked away to the city that never sleeps!Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.","Black tea, cinnamon, natural and artificial flavouring, vanilla",""
"Shop all Tea","Chai Loose Leaf Everyday Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb27f3b0/images/UXProject/new-tea-images/T125AE008_chai_r1.jpg?sw=262&sh=262&sm=fit","Chai Loose Leaf Everyday Tin","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb9c694d/images/products/T125AI009_chai_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw4c2f9b45/images/products/T125AG008_chai_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwccb28006/images/products/T125AE008_chai_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$38.00', 'A$36.00', 'A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb9c694d/images/products/T125AI009_chai_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwdb27f3b0/images/UXProject/new-tea-images/T125AE008_chai_r1.jpg?sw=100&sh=100&sm=fit']","Complex, spicy and incredibly tasty, our signature chai blend is a unique classic. Perfect to wrap your hands around on a chilly afternoon. Traditionally brewed with milk and honey.Enjoy with: Milk and honey.Store in a cool, dry place.","Black tea, cloves, cardamon, star anise, cinnamon, ginger, natural and artificial flavouring",""
"Shop all Tea","Earl Grey Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb73a964d/images/UXProject/new-tea-images/T125AE015_earl-grey_r1.jpg?sw=262&sh=262&sm=fit","Earl Grey Loose Leaf Gift Cube","1 tsp per cup","2-3 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dweffcd220/images/products/T125AE015_earl-grey_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw65cb0250/images/products/T125AG017_earl-grey_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw34608ad1/images/products/T125AI024_earl-grey_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$12.00', 'A$27.00', 'A$29.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dweffcd220/images/products/T125AE015_earl-grey_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwb73a964d/images/UXProject/new-tea-images/T125AE015_earl-grey_r1.jpg?sw=100&sh=100&sm=fit']","Earl Grey is a Sri Lankan black tea combined with the citrus delights of bergamot, generating an elegant and balanced full flavoured cup. An afternoon tea essential.Enjoy with: Perfect on its own.Store in a cool, dry place.","Black tea, natural bergamot flavouring",""
"Shop all Tea","French Earl Grey Loose Leaf Everyday Tin","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0c04a738/images/UXProject/new-tea-images/T125AE018_french-earl-grey_r1.jpg?sw=262&sh=262&sm=fit","French Earl Grey Loose Leaf Everyday Tin","1 tsp per cup","2-3 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0e4fb874/images/products/T125AI029_french-earl-grey_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0e13e052/images/products/T125AG020_french-earl-grey_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa46e6c9d/images/products/T125AE018_french-earl-grey_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$38.00', 'A$36.00', 'A$16.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0e4fb874/images/products/T125AI029_french-earl-grey_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0c04a738/images/UXProject/new-tea-images/T125AE018_french-earl-grey_r1.jpg?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwfd51df12/images/products/2020 Aug/FEG_Loose_Tin_2_1500x1500.jpg?sw=100&sh=100&sm=fit']","Earl Grey gets a French twist which is oh-so-fruity. A medium-bodied black tea base with pretty petals and notes of fruit that play with classic bergamot in an inspiring, bold and refined infusion.Enjoy with: Perfect on its own.Store in a cool, dry place.","Black tea, natural and artificial flavouring, hibiscus, sunflower petals, rose petals, mallow flowers",""
"Shop all Tea","English Breakfast Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw68e35fdd/images/UXProject/new-tea-images/T120AE007_english-breakfast_r1.jpg?sw=262&sh=262&sm=fit","English Breakfast Loose Leaf Gift Cube","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaeff4205/images/products/T120AI021_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw93fba131/images/products/T120AG012_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaf4139bf/images/products/T120AE007_english-breakfast_sha1.png?sw=55&sh=55&sm=fit']","['Tin 250g-8.8oz', 'Foil 250g-8.8oz', 'Cube 100g-3.5oz']","['A$29.00', 'A$27.00', 'A$12.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwaf4139bf/images/products/T120AE007_english-breakfast_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw68e35fdd/images/UXProject/new-tea-images/T120AE007_english-breakfast_r1.jpg?sw=100&sh=100&sm=fit']","A traditional blend of Sri Lankan broken-leaf teas that produces a coppery liquor with an assertive aroma. The flavour is bright and brisk, perfect any time of the day.Enjoy with: Milk.Store in a cool, dry place.","Black tea",""
"Shop all Tea","Sticky Honey Chai Loose Leaf Everyday Foil","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwfe8b2000/images/T125AG067_sticky-honey-chai_r1.png?sw=262&sh=262&sm=fit","Sticky Honey Chai Loose Leaf Everyday Foil","2 tsp","","100°c (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw90ce4185/images/T125AG067_sticky-honey-chai_p1.png?sw=100&sh=100&sm=fit']","['Foil 250g-8.8oz']","['A$30.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw90ce4185/images/T125AG067_sticky-honey-chai_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwde068b8f/images/T125AG067_sticky-honey-chai_p2.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwfe8b2000/images/T125AG067_sticky-honey-chai_r1.png?sw=100&sh=100&sm=fit']","Hold onto your teacups, chai lovers! We’ve taken rich black tea, added toasted spices, then soaked it all in loads of sticky-sweet honey to create a perfectly balanced and simply sensational wet chai dripping with rich notes of cinnamon and vanilla.","For the perfect brew: Place 2 teaspoons Sticky Honey Chai and 250ml/8.4fl oz milk in a saucepan and heat, stirring constantly. Strain into a cup using a Sticky Chai Strainer. For a lighter brew, use an evenly split ratio of milk and water.",""
"Shop all Tea","Morning Sunshine Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwf24683f8/images/UXProject/new-tea-images/T120AE079_morning-sunshine_r1.jpg?sw=262&sh=262&sm=fit","Morning Sunshine Loose Leaf Gift Cube","1 tsp per cup","2-4 mins","100c(212f)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0a9079d6/images/T120AE079_morning-sunshine_p1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw172a84b2/images/T120AG063-_morning-sunshine-foil_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwa9b1226b/images/T120AI082_morning-sunshine-tin_p1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw0a9079d6/images/T120AE079_morning-sunshine_p1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw01b7cff2/images/T120AE079_morning-sunshine_r1.jpg?sw=100&sh=100&sm=fit']","Introducing our ultimate breakfast brew! This luxurious blend combines a harmonious mix of Assam, Darjeeling and Rwandan estate black teas. The perfect go-to daily cuppa, each cup offers robust malty notes, muscatels and a touch of mellow fruitiness. Out of the ordinary and simply exceptional, this bright brew’s just the sip to wake up to.","Black tea",""
"Shop all Tea","Creme Brulee Loose Leaf Gift Cube","https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwce382e02/images/UXProject/new-tea-images/T125AE014_creme-brulee_r1.jpg?sw=262&sh=262&sm=fit","Creme Brulee Loose Leaf Gift Cube","1 tsp per cup","2-4 mins","100°C (212°F)","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw09f28bf7/images/products/T125AE014_creme-brulee_sha1.png?sw=55&sh=55&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwd5be43be/images/products/T125AG014_creme-brulee_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw787e4436/images/products/T125AI022_creme-brulee_sha1.png?sw=100&sh=100&sm=fit']","['Cube 100g-3.5oz', 'Foil 250g-8.8oz', 'Tin 250g-8.8oz']","['A$16.00', 'A$36.00', 'A$38.00']","['https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dw09f28bf7/images/products/T125AE014_creme-brulee_sha1.png?sw=100&sh=100&sm=fit', 'https://www.t2tea.com/dw/image/v2/AASF_PRD/on/demandware.static/-/Sites-masterCatalog_t2/default/dwce382e02/images/UXProject/new-tea-images/T125AE014_creme-brulee_r1.jpg?sw=100&sh=100&sm=fit']","A decadent sweet treat. Velvety vanilla plays with rich caramel and smooth hazelnuts in a gorgeously golden brew. An intense aroma that enhances a glorious infusion.Enjoy with: Perfect on its own or with a dash of milk.Store in a cool, dry place.","Black tea, artificial flavouring, pieces (sugar,), natural and artificial cream flavouring (0.73%)",""
